category,title,creator,publication_year,description
movie,Don't Fuck in the Woods,Shawn Burkett,2016,"A group of friends are going on a camping trip to celebrate graduating college. But once they enter the woods, the proverbial shit starts to hit the fan."
movie,The Founder,John Lee Hancock,2016,"The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into one of the biggest restaurant businesses in the world with a combination of ambition, persistence, and ruthlessness."
movie,Lowriders,Ricardo de Montreuil,2016,"A young street artist in East Los Angeles is caught between his father's obsession with lowrider car culture, his ex-felon brother and his need for self-expression."
movie,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,2011,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too."
movie,Miss Sloane,John Madden,2016,"In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price."
movie,Fallen,Scott Hicks,2016,"A young girl finds herself in a reform school after therapy since she was blamed for the death of a young boy. At the school she finds herself drawn to a fellow student, unaware that he is an angel, and has loved her for thousands of years."
movie,Star Trek Beyond,Justin Lin,2016,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy who puts them and everything the Federation stands for to the test."
movie,The Last Face,Sean Penn,2016,"A director (Charlize Theron) of an international aid agency in Africa meets a relief aid doctor (Javier Bardem) amidst a political/social revolution, and together face tough choices ... See full summary »"
movie,Star Wars: Episode VII - The Force Awakens,J.J. Abrams,2015,"Three decades after the defeat of the Galactic Empire, a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them, along with the help of the Resistance."
movie,Underworld: Blood Wars,Anna Foerster,2016,"Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her."
movie,Mother's Day,Garry Marshall,2016,Three generations come together in the week leading up to Mother's Day.
movie,John Wick,Chad Stahelski,2014,An ex-hitman comes out of retirement to track down the gangsters that took everything from him.
movie,The Dark Knight,Christopher Nolan,2008,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the Dark Knight must come to terms with one of the greatest psychological tests of his ability to fight injustice."
movie,Silence,Martin Scorsese,2016,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism."
movie,Don't Breathe,Fede Alvarez,2016,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems."
movie,Me Before You,Thea Sharrock,2016,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.
movie,Their Finest,Lone Scherfig,2016,"A former secretary, newly appointed as a scriptwriter for propaganda films, joins the cast and crew of a major production while the Blitz rages around them."
movie,Sully,Clint Eastwood,2016,"The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew."
movie,Batman v Superman: Dawn of Justice,Zack Snyder,2016,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs."
movie,The Autopsy of Jane Doe,André Øvredal,2016,"A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets."
movie,The Girl on the Train,Tate Taylor,2016,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.
movie,Fifty Shades of Grey,Sam Taylor-Johnson,2015,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey."
movie,The Prestige,Christopher Nolan,2006,Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.
movie,Kingsman: The Secret Service,Matthew Vaughn,2014,"A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius."
movie,Patriots Day,Peter Berg,2016,"The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible."
movie,Mad Max: Fury Road,George Miller,2015,"A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max."
movie,Wakefield,Robin Swicord,2016,A man's nervous breakdown causes him to leave his wife and live in his attic for several months.
movie,Deepwater Horizon,Peter Berg,2016,"A dramatization of the April 2010 disaster, when the offshore drilling rig Deepwater Horizon exploded and created the worst oil spill in U.S. history."
movie,The Promise,Terry George,2016,"Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris."
movie,Allied,Robert Zemeckis,2016,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war."
movie,A Monster Calls,J.A. Bayona,2016,A boy seeks the help of a tree monster to cope with his single mother's terminal illness.
movie,Collateral Beauty,David Frankel,2016,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty."
movie,Zootopia,Byron Howard,2016,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
movie,Pirates of the Caribbean: At World's End,Gore Verbinski,2007,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle."
movie,The Avengers,Joss Whedon,2012,Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.
movie,Inglourious Basterds,Quentin Tarantino,2009,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
movie,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,2006,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."
movie,Ghostbusters,Paul Feig,2016,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat."
movie,Inception,Christopher Nolan,2010,"A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO."
movie,Captain Fantastic,Matt Ross,2016,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
movie,The Wolf of Wall Street,Martin Scorsese,2013,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
movie,Gone Girl,David Fincher,2014,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
movie,Furious Seven,James Wan,2015,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.
movie,Jurassic World,Colin Trevorrow,2015,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, which escapes containment and goes on a killing spree."
movie,Live by Night,Ben Affleck,2016,"A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan."
movie,Avatar,James Cameron,2009,A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
movie,The Hateful Eight,Quentin Tarantino,2015,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
movie,The Accountant,Gavin O'Connor,2016,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise."
movie,Prisoners,Denis Villeneuve,2013,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
movie,Warcraft,Duncan Jones,2016,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war."
movie,The Help,Tate Taylor,2011,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
movie,War Dogs,Todd Phillips,2016,"Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan."
movie,Avengers: Age of Ultron,Joss Whedon,2015,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan."
movie,The Nice Guys,Shane Black,2016,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star."
movie,Kimi no na wa,Makoto Shinkai,2016,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
movie,The Void,Jeremy Gillespie,2016,"Shortly after delivering a patient to an understaffed hospital, a police officer experiences strange and violent occurrences seemingly linked to a group of mysterious hooded figures."
movie,Personal Shopper,Olivier Assayas,2016,A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.
movie,The Departed,Martin Scorsese,2006,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
movie,Legend,Brian Helgeland,2015,Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.
movie,Thor,Kenneth Branagh,2011,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders."
movie,The Martian,Ridley Scott,2015,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive."
movie,Contratiempo,Oriol Paulo,2016,A young businessman faces a lawyer trying to prove his innocence by the assassination of his lover.
movie,The Man from U.N.C.L.E.,Guy Ritchie,2015,"In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons."
movie,Hell or High Water,David Mackenzie,2016,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.
movie,The Comedian,Taylor Hackford,2016,A look at the life of an aging insult comic named Jack Burke.
movie,The Legend of Tarzan,David Yates,2016,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
movie,All We Had,Katie Holmes,2016,A mother struggles to make a better life for her daughter.
movie,Ex Machina,Alex Garland,2014,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a breath-taking humanoid A.I.
movie,The Belko Experiment,Greg McLean,2016,"In a twisted social experiment, 80 Americans are locked in their high-rise corporate office in Bogotá, Colombia and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed."
movie,12 Years a Slave,Steve McQueen,2013,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
movie,The Bad Batch,Ana Lily Amirpour,2016,A dystopian love story in a Texas wasteland and set in a community of cannibals.
movie,300,Zack Snyder,2006,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
movie,Harry Potter and the Deathly Hallows: Part 2,David Yates,2011,"Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
movie,Office Christmas Party,Josh Gordon,2016,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand..."
movie,The Neon Demon,Nicolas Winding Refn,2016,"When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has."
movie,Dangal,Nitesh Tiwari,2016,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
movie,10 Cloverfield Lane,Dan Trachtenberg,2016,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack."
movie,Finding Dory,Andrew Stanton,2016,"The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way."
